SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,ModifiedDate
43659,1,4911-403C-98,1,776,1,2024.994,0.0,2024.994,07/01/01 08:00
43659,2,4911-403C-98,3,777,1,2024.994,0.0,6074.982,07/01/01 08:00
43659,3,4911-403C-98,1,778,1,2024.994,0.0,2024.994,07/01/01 08:00
43659,4,4911-403C-98,1,771,1,2039.994,0.0,2039.994,07/01/01 08:00
43659,5,4911-403C-98,1,772,1,2039.994,0.0,2039.994,07/01/01 08:00
43659,6,4911-403C-98,2,773,1,2039.994,0.0,4079.988,07/01/01 08:00
43659,7,4911-403C-98,1,774,1,2039.994,0.0,2039.994,07/01/01 08:00
43659,8,4911-403C-98,3,714,1,28.8404,0.0,86.5212,07/01/01 08:00
43659,9,4911-403C-98,1,716,1,28.8404,0.0,28.8404,07/01/01 08:00
43659,10,4911-403C-98,6,709,1,5.7,0.0,34.2,07/01/01 08:00
43659,11,4911-403C-98,2,712,1,5.1865,0.0,10.373,07/01/01 08:00
43659,12,4911-403C-98,4,711,1,20.1865,0.0,80.746,07/01/01 08:00
43660,13,6431-4D57-83,1,762,1,419.4589,0.0,419.4589,07/01/01 08:00
43660,14,6431-4D57-83,1,758,1,874.794,0.0,874.794,07/01/01 08:00
43661,15,4E0A-4F89-AE,1,745,1,809.76,0.0,809.76,07/01/01 08:00
43661,16,4E0A-4F89-AE,1,743,1,714.7043,0.0,714.7043,07/01/01 08:00
43661,17,4E0A-4F89-AE,2,747,1,714.7043,0.0,1429.4086,07/01/01 08:00
43661,18,4E0A-4F89-AE,4,712,1,5.1865,0.0,20.746,07/01/01 08:00
43661,19,4E0A-4F89-AE,4,715,1,28.8404,0.0,115.3616,07/01/01 08:00
43661,20,4E0A-4F89-AE,2,742,1,722.5949,0.0,1445.1898,07/01/01 08:00
43661,21,4E0A-4F89-AE,3,775,1,2024.994,0.0,6074.982,07/01/01 08:00
43661,22,4E0A-4F89-AE,2,778,1,2024.994,0.0,4049.988,07/01/01 08:00
43661,23,4E0A-4F89-AE,2,711,1,20.1865,0.0,40.373,07/01/01 08:00
43661,24,4E0A-4F89-AE,2,741,1,818.7,0.0,1637.4,07/01/01 08:00
43661,25,4E0A-4F89-AE,4,776,1,2024.994,0.0,8099.976,07/01/01 08:00
