ProductID,VendorID,AverageLeadTime,StandardPrice,LastReceiptCost,LastReceiptDate,MinOrderQty,MaxOrderQty,OnOrderQty,UnitMeasureCode,ModifiedDate
1,83,17,47.87,50.2635,09/29/01 00:00,1,5,3,CS ,09/29/01 08:00
2,57,19,39.92,41.916,09/29/01 00:00,1,5,3,CTN,09/29/01 08:00
4,85,17,54.31,57.0255,09/29/01 00:00,1,5,,CTN,09/29/01 08:00
317,50,19,28.17,29.5785,09/29/01 00:00,100,1000,300,EA ,09/29/01 08:00
317,84,17,25.77,27.0585,09/25/01 00:00,100,1000,,EA ,09/25/01 08:00
318,50,19,34.38,36.099,09/29/01 00:00,100,1000,,EA ,09/29/01 08:00
318,84,17,31.98,33.579,09/25/01 00:00,100,1000,300,EA ,09/25/01 08:00
319,40,19,44.21,46.4205,09/29/01 00:00,100,1000,300,EA ,09/29/01 08:00
319,50,19,46.27,48.5835,09/29/01 00:00,100,1000,,EA ,09/29/01 08:00
319,84,17,43.87,46.0635,09/25/01 00:00,100,1000,,EA ,09/25/01 08:00
320,13,17,45.21,47.4705,09/19/01 00:00,1,5,,CAN,09/19/01 08:00
320,47,17,43.21,45.3705,09/25/01 00:00,1,5,,CAN,09/25/01 08:00
320,62,19,47.28,49.644,09/29/01 00:00,1,5,3,CAN,09/29/01 08:00
321,13,17,40.76,42.798,09/19/01 00:00,1,5,,CAN,09/19/01 08:00
321,47,17,38.56,40.488,09/25/01 00:00,1,5,,CAN,09/25/01 08:00
321,62,19,42.21,44.3205,09/29/01 00:00,1,5,,CAN,09/29/01 08:00
322,13,17,24.21,25.4205,09/25/01 00:00,20,100,,DZ ,09/25/01 08:00
322,47,17,25.11,26.3655,09/25/01 00:00,20,100,,DZ ,09/25/01 08:00
322,62,19,27.33,28.6965,09/24/01 00:00,20,100,,DZ ,09/24/01 08:00
323,21,17,47.87,50.2635,09/25/01 00:00,1,5,,CS ,09/25/01 08:00
325,15,19,0.2,0.21,09/29/01 00:00,500,2000,,EA ,09/29/01 08:00
326,15,19,0.2,0.21,09/29/01 00:00,500,2000,,EA ,09/29/01 08:00
332,70,19,10.3,10.815,09/29/01 00:00,100,1000,,EA ,09/29/01 08:00
341,8,15,39.21,41.1705,09/26/01 00:00,1,5,3,CTN,09/26/01 08:00
341,41,19,45.21,47.4705,09/22/01 00:00,1,5,,CTN,09/22/01 08:00
341,90,19,45.31,47.5755,09/28/01 00:00,1,5,,CTN,09/28/01 08:00
342,8,15,37.21,39.0705,09/26/01 00:00,1,5,3,CTN,09/26/01 08:00
342,41,19,43.21,45.3705,09/22/01 00:00,1,5,,CTN,09/22/01 08:00
342,90,19,43.31,45.4755,09/28/01 00:00,1,5,,CTN,09/28/01 08:00
343,8,15,41.28,43.344,09/26/01 00:00,1,5,,CTN,09/26/01 08:00
343,41,19,47.28,49.644,09/22/01 00:00,1,5,,CTN,09/22/01 08:00
343,90,19,47.38,49.749,09/28/01 00:00,1,5,,CTN,09/28/01 08:00
344,8,15,37.21,39.0705,09/07/01 00:00,1,5,3,CTN,09/07/01 08:00
344,41,19,43.21,45.3705,09/28/01 00:00,1,5,,CTN,09/28/01 08:00
344,90,19,43.31,45.4755,09/28/01 00:00,1,5,,CTN,09/28/01 08:00
345,8,15,35.21,36.9705,09/07/01 00:00,1,5,3,CTN,09/07/01 08:00
345,41,19,41.21,43.2705,09/28/01 00:00,1,5,,CTN,09/28/01 08:00
345,90,19,41.31,43.3755,09/28/01 00:00,1,5,,CTN,09/28/01 08:00
346,8,15,39.28,41.244,09/13/01 00:00,1,5,,CTN,09/13/01 08:00
346,41,19,45.28,47.544,09/28/01 00:00,1,5,,CTN,09/28/01 08:00
