PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate
1,1,05/31/01 00:00,4,1,50.26,201.04,3.0,0.0,3.0,05/24/01 08:00
2,2,05/31/01 00:00,3,359,45.12,135.36,3.0,0.0,3.0,05/24/01 08:00
2,3,05/31/01 00:00,3,360,45.5805,136.7415,3.0,0.0,3.0,05/24/01 08:00
3,4,05/31/01 00:00,550,530,16.086,8847.3,550.0,0.0,550.0,05/24/01 08:00
4,5,05/31/01 00:00,3,4,57.0255,171.0765,2.0,1.0,1.0,05/24/01 08:00
5,6,06/14/01 00:00,550,512,37.086,20397.3,550.0,0.0,550.0,06/07/01 08:00
6,7,06/14/01 00:00,550,513,26.5965,14628.075,468.0,0.0,468.0,06/07/01 08:00
7,8,06/14/01 00:00,550,317,27.0585,14882.175,550.0,0.0,550.0,06/07/01 08:00
7,9,06/14/01 00:00,550,318,33.579,18468.45,550.0,0.0,550.0,06/07/01 08:00
7,10,06/14/01 00:00,550,319,46.0635,25334.925,550.0,0.0,550.0,06/07/01 08:00
8,11,06/14/01 00:00,3,403,47.4705,142.4115,3.0,0.0,3.0,06/07/01 08:00
8,12,06/14/01 00:00,3,404,45.3705,136.1115,3.0,0.0,3.0,06/07/01 08:00
8,13,06/14/01 00:00,3,405,49.644,148.932,3.0,0.0,3.0,06/07/01 08:00
8,14,06/14/01 00:00,3,406,45.3705,136.1115,3.0,0.0,3.0,06/07/01 08:00
8,15,06/14/01 00:00,3,407,43.2705,129.8115,3.0,0.0,3.0,06/07/01 08:00
9,16,01/28/02 00:00,3,422,47.523,142.569,3.0,0.0,3.0,01/21/02 08:00
9,17,01/28/02 00:00,3,423,45.423,136.269,3.0,0.0,3.0,01/21/02 08:00
9,18,01/28/02 00:00,3,424,49.6965,149.0895,3.0,0.0,3.0,01/21/02 08:00
9,19,01/28/02 00:00,3,425,45.423,136.269,3.0,0.0,3.0,01/21/02 08:00
9,20,01/28/02 00:00,3,426,43.323,129.969,3.0,0.0,3.0,01/21/02 08:00
10,21,01/28/02 00:00,3,320,47.4705,142.4115,3.0,0.0,3.0,01/21/02 08:00
10,22,01/28/02 00:00,3,321,42.798,128.394,3.0,0.0,3.0,01/21/02 08:00
10,23,01/28/02 00:00,60,322,25.4205,1525.23,60.0,0.0,60.0,01/21/02 08:00
11,24,01/28/02 00:00,3,438,41.223,123.669,3.0,0.0,3.0,01/21/02 08:00
11,25,01/28/02 00:00,3,439,45.4965,136.4895,3.0,0.0,3.0,01/21/02 08:00
11,26,01/28/02 00:00,3,440,41.223,123.669,3.0,0.0,3.0,01/21/02 08:00
11,27,01/28/02 00:00,3,441,39.123,117.369,3.0,0.0,3.0,01/21/02 08:00
12,28,01/28/02 00:00,550,941,62.9895,34644.225,550.0,82.0,468.0,01/21/02 08:00
13,29,01/28/02 00:00,3,320,45.3705,136.1115,3.0,0.0,3.0,01/21/02 08:00
13,30,01/28/02 00:00,3,321,40.488,121.464,3.0,0.0,3.0,01/21/02 08:00
13,31,01/28/02 00:00,60,322,26.3655,1581.93,60.0,0.0,60.0,01/21/02 08:00
14,32,01/28/02 00:00,3,504,48.762,146.286,3.0,3.0,0.0,01/21/02 08:00
15,33,01/28/02 00:00,3,497,34.188,102.564,3.0,0.0,3.0,01/21/02 08:00
16,34,01/28/02 00:00,3,323,50.2635,150.7905,3.0,0.0,3.0,01/21/02 08:00
17,35,01/29/02 00:00,550,523,10.731,5902.05,550.0,0.0,550.0,01/22/02 08:00
17,36,01/29/02 00:00,550,524,14.1225,7767.375,550.0,0.0,550.0,01/22/02 08:00
18,37,01/29/02 00:00,60,492,50.2635,3015.81,60.0,0.0,60.0,01/22/02 08:00
18,38,01/29/02 00:00,60,493,57.1515,3429.09,60.0,0.0,60.0,01/22/02 08:00
